PEM Size (MW),Curtailment Recovery (%),Residual Curtailment (MWh/year),H2 (kg/year),Utilization (%),Discounted LCOH (EUR/kg H2),NPV (EUR),PV Opportunity Cost (EUR/year),Pareto Efficient,Ideal-Point Distance
0.33,19.36791701994214,2147.0857,12101.48187636654,22.282772934827726,5.735813598534879,130947.43144002795,20958.09448,True,0.5034443055019873
0.34,19.941317058044625,2131.8171,12460.23805400043,22.267610126242275,5.738737991469543,134517.55618292117,21583.996225,True,0.4996502340038994
0.35,20.512689169417918,2116.6025,12820.335383624864,22.25478147423353,5.741722948342559,138077.5198311456,22220.473149999998,True,0.4958745391537685
0.36,21.082934654830538,2101.4179,13179.952084414377,22.241714231354646,5.744754287953959,141608.68595348485,22856.950075,True,0.4921135776893289
0.37,21.651937096266547,2086.2664,13537.837720206193,22.22661977045539,5.747529818974835,145132.27856362413,23482.194355,True,0.4883636944949105
0.38,22.219482434793427,2071.1537,13896.289577416865,22.212776375871186,5.750714557687166,148596.25003878586,24118.367695,True,0.4846363494489468
0.39,22.785431719876012,2056.0835,14252.8085350576,22.19668657065917,5.753656134041121,152049.72766164143,24742.23673,True,0.480922539977699
0.4,23.349784951514334,2041.0558,14605.990456135904,22.17667808219178,5.75684850691413,155418.38199820893,25352.656375,True,0.4772332151328325
0.41,23.912906405435656,2026.0609,14961.154431518378,22.159948212495824,5.760367808396573,158746.90487767477,25981.638939999997,True,0.47356307446699125
0.42,24.47582131126418,2011.0715,15317.501117983338,22.14552620134812,5.763706442722417,162090.23116648663,26617.171006999997,True,0.4698964261001073
0.43,25.03797762227919,1996.1023,15669.301782478498,22.12611235000531,5.766357152271063,165457.4798134052,27218.086082,True,0.4662304294301434
0.44,25.59894722061563,1981.1647,16021.853488359195,22.10826328352013,5.769400115973427,168762.88489750563,27831.483602,True,0.4625860178210911
0.45,26.158399629325036,1966.2675,16375.124110696699,22.091757990867578,5.772488355460001,172051.13259386283,28451.918027,True,0.45895794708522686
0.46,26.715835377564847,1951.424,16729.00932479471,22.07627556084971,5.776063783965579,175257.38358569052,29086.234232000003,True,0.4553598006299758
0.47,27.2715624097643,1936.626,17079.115048744243,22.056922180122417,5.779440499710608,178431.54435546498,29697.843092,True,0.4517777694165449
0.48,27.825821072795023,1921.8671,17431.594526212022,22.040727264079145,5.783169037101056,181557.70412193728,30331.676162000003,True,0.44821843398226485
0.49,28.378615122076862,1907.1472,17783.454750610385,22.024284782406113,5.786951281056203,184646.7605042588,30965.509231999997,True,0.4446774165144029
0.5,28.930207437000675,1892.4593,18129.898816042714,22.002632420091324,5.790009383677448,187769.34767915448,31557.511801999994,True,0.4411370552279518
0.51,29.479204756795063,1877.8405,18480.099152507915,21.985224729161068,5.79399725313916,190765.5324035571,32190.57581,True,0.4376405900344137
0.52,30.026699908641902,1863.2617,18829.68425119136,21.96763479100808,5.798040578923825,193722.5416225274,32823.91001,True,0.43416311996966667
0.53,30.572764245518684,1848.721,19178.654779830962,21.94988799862152,5.802122427434996,196642.72804715007,33457.244210000004,True,0.43070386187710386
0.54,31.117454098723456,1834.2169,19525.270078975715,21.930312447150342,5.806314023667432,199496.12138045137,34081.89521,True,0.4272657448605935
0.55,31.660431480468006,1819.7584,19871.12168303156,21.910462847654628,5.810123751111631,202381.81824946962,34697.426337000004,True,0.4238359078548007
0.56,32.20271410953681,1805.3184,20214.748582665055,21.88917971298108,5.813989778084917,205212.63234923687,35303.796462,True,0.4204211666036392
0.57,32.7443583172279,1790.8954,20557.935271377435,21.8681927421293,5.81770321079126,208043.10140402557,35907.125422,True,0.417013904990302
0.58,33.28406472826664,1776.524,20896.422271739793,21.843390804597703,5.821760393376801,210742.8593577951,36492.82748199999,True,0.41363936361690506
0.59,33.82247927487048,1762.187,21239.886260547166,21.82369785620308,5.826043680332965,213428.02215170336,37115.073607,True,0.4102845578970016
0.6,34.359917412308405,1747.876,21582.836740600258,21.804109589041094,5.829841718485453,216172.50297791057,37726.795072,True,0.40692928699132863
0.61,34.896660797070595,1733.5835,21925.38025082693,21.784761209671384,5.833619667241493,218894.39291080937,38338.307032,True,0.4035857752404673
0.62,35.43174428625072,1719.3352,22267.159219749366,21.765167918692,5.837452804803515,221576.0021156423,38949.173182,True,0.40026252959750724
0.63,35.96535940626211,1705.126,22606.22482286332,21.74375226498514,5.8418627011144375,224096.67151137395,39559.848296,True,0.39697672268422646
0.64,36.49702921878141,1690.9686,22948.599539803912,21.72546197203196,5.846197185250945,226639.2354611574,40191.12927599999,True,0.39370721345256515
0.65,37.027305770529345,1676.8483,23288.269266178824,21.705384615384617,5.850640239388186,229108.13872892363,40812.081066,True,0.39046006471537603
0.66,37.556436919217276,1662.7585,23625.21114360627,21.683623910336237,5.854715942346474,231598.75951145985,41411.400666,True,0.3872173190102464
0.67,38.08479069599234,1648.6894,23961.663535154097,21.662071491855787,5.858759945993481,234067.59139497485,42009.839452,True,0.38398685291069967
0.68,38.61212675398293,1634.6474,24297.539238767,21.640609051839913,5.862792817768587,236509.8327482763,42607.34798199999,True,0.3807709008697611
0.69,39.137442396084055,1620.6592,24632.446859850217,21.61877936602475,5.867362690566773,238806.27414389444,43215.113677,True,0.37759586819272495
0.7,39.66040714534726,1606.7336,24970.827497358412,21.59987932159165,5.871867517515191,241123.9522478832,43844.709412,True,0.37444047168147165
0.71,40.181832172464205,1592.849,25308.54644163833,21.580852466396554,5.876405521531276,243401.984108274,44474.305147,True,0.3713053158223015
0.72,40.701169186134045,1579.02,25640.70318883512,21.55804794520548,5.880797318444557,245632.59046867746,45070.506202,True,0.36818879754791783
