PEM Size (MW),Curtailment Recovery (%),Discounted LCOH (EUR/kg H2),NPV (EUR),H2 (kg/year),Utilization (%),Avoided Curtailment (MWh),Residual Curtailment (MWh),Lost Export Energy (MWh),PV Opportunity Cost (EUR/year),Pareto Efficient,Balanced Distance to Ideal,Balanced Compromise
0.41,23.912906405435656,5.697164689193282,168691.57081935558,15127.130259590851,22.159948212495824,636.7572,2026.0609,159.1395,25981.638939999997,True,0.4726258748140361,False
0.42,24.47582131126418,5.7007340803229445,172228.23564221422,15486.70375362028,22.14552620134812,651.7466,2011.0715,163.0316,26617.171006999997,True,0.46898618829213035,False
0.43,25.03797762227919,5.703540334173848,175797.61976166145,15841.878046011292,22.12611235000531,666.7158,1996.1023,166.7306,27218.086082,True,0.46534684599565784,False
0.44,25.59894722061563,5.70676559105634,179299.0329491843,16197.701114395786,22.10826328352013,681.6533999999999,1981.1647,170.4875,27831.483602,True,0.46172787644780344,False
0.45,26.15839962932504,5.710076896899027,182775.0220996385,16554.105129397263,22.091757990867578,696.5506,1966.2675,174.3065,28451.918027,True,0.45812548755242094,False
0.46,26.715835377564844,5.713917296772998,186159.18366167802,16910.959659346296,22.07627556084971,711.3941,1951.424,178.1915,29086.234232000003,True,0.45455173136998617,False
0.47,27.2715624097643,5.71751982350295,189514.06962905073,17264.081675094953,22.056922180122417,726.1921,1936.626,181.9355,29697.843092,True,0.4509929727101564,False
0.48,27.82582107279502,5.721529183340624,192809.761872105,17619.390638575725,22.040727264079145,740.951,1921.8671,185.8175,30331.676162000003,True,0.4474565091118129,False
0.49,28.378615122076866,5.725600841405252,196063.92085016496,17974.00641456378,22.024284782406113,755.6708999999998,1907.1472,189.6995,30965.509231999997,True,0.4439376952808623,False
0.5,28.93020743700067,5.728878570597574,199360.62483950047,18323.35647830993,22.002632420091324,770.3588,1892.4593,193.3565,31557.511801999994,True,0.44041955988693715,False
0.51,29.479204756795063,5.733187846869757,202509.7541705688,18676.109450317585,21.985224729161068,784.9775999999999,1877.8405,197.2343,32190.57581,True,0.43694391530869187,False
0.52,30.026699908641902,5.737556731593751,205615.79874880024,19028.181939458438,21.96763479100808,799.5563999999999,1863.2617,201.1133,32823.91001,True,0.4334864671720911,False
0.53,30.572764245518684,5.741966028341481,208681.56991452345,19379.58226796267,21.94988799862152,814.0971,1848.721,204.9923,33457.244210000004,True,0.4300464332504453,False
0.54,31.117454098723456,5.746457937094763,211681.82165240814,19728.64862433278,21.930312447150342,828.6012000000001,1834.2169,208.7903,34081.89521,True,0.4266255280416719,False
0.55,31.660431480468006,5.750582221826077,214709.34363160617,20076.867280257597,21.910462847654628,843.0597,1819.7584,212.5864,34697.426337000004,True,0.4232141653633477,False
0.56,32.20271410953681,5.754723906849071,217686.29171062476,20422.93314650475,21.88917971298108,857.4996999999998,1805.3184,216.2959,35303.796462,True,0.41981580427862447,False
0.57,32.74435831722789,5.758701430467055,220663.2771584576,20768.565184292136,21.8681927421293,871.9226999999998,1790.8954,219.9999,35907.125422,True,0.41642458758803813,False
0.58,33.28406472826665,5.762980729763392,223513.0452652647,21109.555844356655,21.843390804597703,886.2941000000001,1776.524,223.5249,36492.82748199999,True,0.4130623377102232,False
0.59,33.82247927487049,5.767561631856469,226332.12673165376,21455.2549271018,21.82369785620308,900.6311000000001,1762.187,227.3049,37115.073607,True,0.4097205642152603,False
0.6,34.35991741230841,5.771650933148461,229210.4148659035,21800.43864242742,21.804109589041094,914.9421,1747.876,231.0819,37726.795072,True,0.4063796571217926,False
0.61,34.896660797070595,5.775704883558114,232067.15757898838,22145.23283678873,21.784761209671384,929.2346,1733.5835,234.8559,38338.307032,True,0.403049466981333,False
0.62,35.43174428625072,5.779821433456279,234879.1586735418,22489.188037873944,21.765167918692,943.4829,1719.3352,238.6269,38949.173182,True,0.39973875781138235,False
0.63,35.96535940626211,5.78448732609992,237531.55983260623,22830.452235554152,21.74375226498514,957.6921,1705.126,242.3021,39559.848296,True,0.3964609294026769,False
0.64,36.497029218781414,5.789144019040466,240190.0979910323,23174.762554497604,21.72546197203196,971.8495,1690.9686,246.1668,40191.12927599999,True,0.39320123039885013,False
0.65,37.027305770529345,5.793884698012197,242776.6429517361,23516.39571307986,21.705384615384617,985.9697999999999,1676.8483,249.9348,40812.081066,True,0.3899616332155366,False
0.66,37.556436919217276,5.798234439304696,245387.72001665668,23855.34799802954,21.683623910336237,1000.0596,1662.7585,253.6008,41411.400666,True,0.38672663106173377,False
0.67,38.08479069599234,5.802542544881082,247977.19493804782,24193.81391403662,21.662071491855787,1014.1287,1648.6894,257.2616,42009.839452,True,0.3835029754160877,False
0.68,38.61212675398293,5.8068315749699515,250539.77127891738,24531.69800076916,21.640609051839913,1028.1707,1634.6474,260.9171,42607.34798199999,True,0.3802928386761159,False
0.69,39.137442396084055,5.811665430285578,252950.72652406257,24868.516850556538,21.61877936602475,1042.1589,1620.6592,264.5666,43215.113677,True,0.3771201054592719,False
0.7,39.66040714534726,5.816505821390252,255364.46114715596,25208.50066512404,21.59987932159165,1056.0845,1606.7336,268.4201,43844.709412,True,0.373969125971574,False
0.71,40.181832172464205,5.821385091668167,257734.0965765666,25547.74846701583,21.580852466396554,1069.9691,1592.849,272.2736,44474.305147,True,0.37083755630244936,False
0.72,40.701169186134045,5.826080794694478,260060.9608180999,25881.51175199103,21.55804794520548,1083.7981,1579.02,275.9111,45070.506202,True,0.36772304152986535,False
0.73,41.218726130786024,5.830383095087916,262439.71746556537,26214.320805276337,21.535037843247636,1097.5797,1565.2384,279.5429,45653.965069,True,0.36461478670783914,False
0.74,41.73417252947169,5.83556711741886,264605.8724160387,26548.360256917036,21.513420955201777,1111.3051,1551.513,283.2809,46270.874884,True,0.36155705015370626,False
0.75,42.247718685703695,5.840757726006817,266754.6247410411,26883.78617415567,21.49327701674277,1124.9799,1537.8382,287.1284,46899.523099,True,0.35851982734134274,False
0.76,42.75958616925429,5.845994052779933,268855.23177054746,27218.43371525665,21.4730037851478,1138.61,1524.2081,290.9767,47528.347474,True,0.3555039072455553,False
0.77,43.269384416457136,5.850509111053259,271015.4495075306,27544.900043190173,21.44731809286604,1152.185,1510.6331,294.4795,48092.939065000006,True,0.3524859706954436,False
0.78,43.77693692257837,5.855918585537723,272996.9821829489,27877.485635348057,21.426438648870157,1165.7002,1497.1179,298.3255,48721.241200000004,True,0.34952143485971965,False
0.79,44.28268307174268,5.8606681240523,275026.53712947347,28201.813586088814,21.40027599560719,1179.1673,1483.6508,301.8174,49286.129425,True,0.34655480486473694,False
0.8,44.78653273387318,5.866192648047867,276902.94573814207,28532.576620120955,21.379056792237446,1192.5838999999999,1470.2342,305.6604,49913.95524999999,True,0.3436366447749588,False
0.81,45.28812538866248,5.871395484454625,278792.7918767034,28859.7418827963,21.355802187270985,1205.9404,1456.8777,309.3819,50515.026775,True,0.3407305145541605,False
0.82,45.78775395886035,5.8770686968665,280551.36564636376,29188.50715816859,21.33406420536808,1219.2446,1443.5735,313.2239,51142.63488,True,0.3378643435375057,False
0.83,46.285921670729216,5.882959274495284,282142.04766376404,29508.796128253016,21.307191780821917,1232.5099,1430.3082,316.6934,51730.523564999996,True,0.33502798359860475,False
0.84,46.781535697087236,5.888827323510068,283743.0963704331,29832.96613485027,21.28333741030659,1245.7072,1417.1109,320.4059,52344.368370000004,True,0.33221634480064316,False
0.85,47.27669907306098,5.894279291066545,285391.07174323546,30154.187012311762,21.258130539887187,1258.8925,1403.9256,323.9879,52932.08684999999,True,0.32940139741866364,False
0.86,47.76938011650139,5.900101816663161,286951.2455546729,30479.533419421983,21.235993416162263,1272.0117,1390.8064,327.8231,53558.941854,True,0.32662725328479014,False
0.87,48.25985297305888,5.9051985807832255,288609.68993849517,30798.406128996816,21.210172938644835,1285.0720999999999,1377.746,331.3976,54129.000068999994,True,0.3238467557567323,False
0.88,48.748955101364224,5.911097231955124,290070.83793815965,31122.011064746126,21.187812629721876,1298.096,1364.7221,335.2301,54755.233914,True,0.3211199282601236,False
0.89,49.23681418569297,5.916598027281898,291574.9767703302,31442.228008266597,21.163817915961214,1311.0868,1351.7313,338.9291,55352.729214000006,True,0.3183945542349597,False
0.9,49.72383581139095,5.922446048962912,292976.1520620892,31764.785874134024,21.141747843734144,1324.0553,1338.7628,342.7601,55978.640154,True,0.3157012792982519,False
0.91,50.20906234639158,5.9275235925284475,294496.9634838548,32080.84204851954,21.116157358623113,1336.9759999999999,1325.8421,346.3196,56545.06221900001,True,0.3129948367281151,False
0.92,50.69304208199576,5.933403568580564,295813.8390297147,32401.942460679595,21.094061445304742,1349.8635,1312.9546,350.1491,57170.619684000005,True,0.3103448728585239,False
0.93,51.17387853116967,5.939504509582326,296996.9071565536,32718.680865714898,21.069700986890556,1362.6673,1300.1508,353.8391,57781.275759000004,True,0.3077374068953284,False
